"X.1","X","ID","clutch_size","hatchlings","fledglings","unhatched_eggs","first_egg_date","Site","Habitat","Nest_Collection_Date","Total","Anthro","Moss","Feather","Wool.Hair","Arthropod","lat","long","IS50","TD50","IS100","TD100","IS500","TD500","HPD500","hatch_per","fledg_per","unhat_per","PC1","Anthro10"
1,1,113,10,10,8,0,"28/04/2023","SCENE","Rural","27/06/2023",7.454,0,6.855,0.344,0.001,1,56.12663,-4.62007,0,65.96153846,0,66.54807692,0.10178117,48.71119593,0,1,0.8,0,-7.18345551490448,0
2,2,154,9,9,9,0,"01/05/2023","SCENE","Rural","14/06/2023",17.75,0.009,16.667,0.339,0.027,8,56.129,-4.6107,0,65.98684211,0,65.82802548,0.184297731,49.19717053,0,1,1,0,2.553639887095,1
3,3,157,4,0,0,4,"07/05/2023","SCENE","Rural","14/06/2023",15.372,0.235,12.565,0.554,2.005,0,56.1296,-4.6116,0,68.30769231,0.10543131,57.95207668,0.184086569,51.28122215,0,0,0,1,-1.74717009111058,1
4,4,159,8,8,8,0,"30/04/2023","SCENE","Rural","27/06/2023",20.154,0,18.737,0.163,0.49,8,56.1292,-4.6115,0,67.55,1.060509554,60.09235669,0.184086569,49.83055379,0,1,1,0,4.56460550652548,0
5,5,16,7,5,4,2,"05/05/2023","SCENE","Rural","27/06/2023",29.044,0,28.984,0.22,0.035,10,56.1307,-4.6168,0,67.7721519,0,68.56962025,0.184063136,58.78958758,0,0.714285714285714,0.8,0.285714285714286,14.7843569628175,0
6,6,162,8,6,5,2,"10/05/2023","SCENE","Rural","27/06/2023",22.444,0,22.165,0.544,0.001,9,56.1287,-4.6123,3.443037975,46.92405063,4.487341772,46.40506329,0.184063136,47.51960285,0,0.75,0.833333333333333,0.25,8.00455144732621,0
7,7,165,7,7,7,0,"28/04/2023","SCENE","Rural","14/06/2023",10.256,0.008,9.122,1.196,0.001,5,56.1284,-4.6113,0,63.76923077,0,61.82108626,0.184016289,45.89717485,0,1,1,0,-4.97216059187727,1
8,8,172,7,7,7,0,"24/04/2023","SCENE","Rural","14/06/2023",19.453,0,13.309,0.331,4.212,5,56.1295,-4.6101,0,66.82051282,0,68.94936709,0.184016289,51.41511835,0,1,1,0,-1.24728353158088,0
9,9,18,8,8,8,0,"01/05/2023","SCENE","Rural","14/06/2023",12.113,0,8.431,3.768,0.001,3,56.1308,-4.6169,0,67.4556962,0,67.91719745,0.183969466,58.89872774,0,1,1,0,-5.77608247111138,0
10,10,2,7,6,6,1,"07/05/2023","SCENE","Rural","27/06/2023",17.794,0,15.393,1.186,0.612,1,56.1293,-4.61479,0,68.425,1.661392405,64.55063291,0.184110008,51.74420677,0,0.857142857142857,1,0.142857142857143,1.18469485499385,0
11,11,20,10,9,9,1,"02/05/2023","SCENE","Rural","27/06/2023",13.386,0.157,11.544,0.99,0.338,6,56.1287,-4.61365,13.525,33.9625,4.59047619,45.05714286,0.184133452,47.98650197,0,0.9,1,0.1,-2.5949287485286,1
12,12,208,7,7,7,0,"01/05/2023","Sallochy","Rural","27/06/2023",21.05,0.016,21.035,0.704,0.001,13,56.124,-4.6022,0,75.28571429,0,69.3974359,0.082568807,39.19482671,0,1,1,0,6.87568283618454,1
13,13,224,7,7,7,0,"19/04/2023","Sallochy","Rural","27/06/2023",18.285,0.001,14.288,0.305,1.213,2,56.1252,-4.6038,0,72.71052632,0,73.33546326,0.008928571,42.38367347,0,1,1,0,0.0610439689479329,1
14,14,225,7,6,6,1,"11/05/2023","Sallochy","Rural","27/06/2023",20.186,0.001,13.902,0.035,4.571,32,56.124355,-4.604817,0,36.1038961,0,36.14376997,0,33.20389958,0,0.857142857142857,1,0.142857142857143,-0.68521353353874,1
15,15,23,9,9,8,0,"25/04/2023","SCENE","Rural","27/06/2023",16.72,0,13.755,0.31,0.296,12,56.12906,-4.61372,15.1,33.2125,4.59047619,50.62222222,0.184110008,49.64438503,0,1,0.888888888888889,0,-0.365729706789594,0
16,16,235,3,3,3,0,"05/05/2023","Sallochy","Rural","27/06/2023",15.364,0.001,13.885,0.491,0.919,1,56.1227,-4.5978,0,62.41025641,1.137820513,59.47435897,0.082474227,44.63548428,0,1,1,0,-0.31464124415955,1
17,17,24,8,7,7,1,"01/05/2023","SCENE","Rural","14/06/2023",11.502,0,8.438,2.865,0.001,3,56.1313,-4.6153,0,61.77922078,0,53.57234727,0.184203822,59.47770701,0,0.875,1,0.125,-5.72772549915508,0
18,18,254,8,8,5,0,"26/04/2023","Sallochy","Rural","27/06/2023",22.597,0.001,20.73,0.558,1.287,5,56.123,-4.6003,0,45.35443038,0,42.79179811,0.082495226,39.38777849,0,1,0.625,0,6.43569566527829,1
19,19,261,6,5,4,1,"04/05/2023","Sallochy","Rural","14/06/2023",16.324,0.034,14.696,0.694,0.251,1,56.1213,-4.5945,0,65.28205128,0,66.1910828,0.082442748,38.92620865,0,0.833333333333333,0.8,0.166666666666667,0.556059044888229,1
20,20,272,9,8,7,1,"03/05/2023","Sallochy","Rural","14/06/2023",19.453,0.001,17.102,0.26,1.516,1,56.121,-4.5933,0,68.85714286,0,61.56410256,0.082537256,39.6734174,0,0.888888888888889,0.875,0.111111111111111,2.8224900124397,1
21,21,273,5,4,3,1,"30/04/2023","Sallochy","Rural","27/06/2023",29.923,0.001,22.801,5.658,0.001,10,56.1216,-4.5932,0,64.37179487,0,66.45659164,0.082537256,42.96013247,0,0.8,0.75,0.2,8.40136258491547,1
22,22,402,8,7,6,1,"27/04/2023","Cashel ","Rural","28/06/2023",21.071,0.001,14.965,0.309,5.753,2,56.11026,-4.57884,0,34.91025641,0,34.48397436,1.604405399,37.94894321,0,0.875,0.857142857142857,0.125,0.225220006869092,1
23,23,405,8,7,7,1,"27/04/2023","Cashel","Rural","28/06/2023",21.173,0.001,9.997,0.932,4.286,7,56.10991,-4.57773,0,62.97402597,0,58.26602564,1.307064524,41.61017598,0,0.875,1,0.125,-4.57070241536136,1
24,24,408,5,4,4,1,"01/05/2023","Cashel","Rural","28/06/2023",19.634,0,14.448,1.187,3.71,1,56.10934,-4.57899,0,53.2375,0,42.57324841,1.334860634,36.01718213,0,0.8,1,0.2,-0.0997978846094027,0
25,25,417,8,8,7,0,"26/04/2023","Cashel","Rural","28/06/2023",18.384,0,16.247,0.748,1.895,9,56.10918,-4.5791,0,54.4025974,0,42.89456869,1.284657569,35.42596608,0,1,0.875,0,1.90902491239747,0
26,26,418,7,7,6,0,"03/05/2023","Cashel ","Rural","28/06/2023",18.121,0.017,5.901,0.173,5.816,19,56.10883,-4.57948,0,44.06329114,0,41.09493671,1.21899669,33.45874714,0,1,0.857142857142857,0,-8.77265269338221,1
27,27,425,7,6,6,0,"02/05/2023","Cashel","Rural","28/06/2023",24.058,0,20.024,1.841,1.739,4,56.10896,-4.57585,0,57.85,0,60.89240506,0.650922979,46.74971356,0,0.857142857142857,1,0,5.62551384375955,0
28,28,429,8,8,5,0,"25/04/2023","Cashel","Rural","28/06/2023",21.335,0.001,21.125,0.547,0.001,11,56.10897,-4.57733,0,60.1875,0,61.29206349,1.004712175,41.8607998,0,1,0.625,0,6.97208662680111,1
29,29,430,9,8,8,1,"27/04/2023","Cashel","Rural","28/06/2023",15.647,0,14.493,1.605,0.001,2,56.10862,-4.57614,0,60.37179487,0,61.93890675,0.641192205,45.66501083,0,0.888888888888889,1,0.111111111111111,0.340433669763752,0
30,30,501,9,5,5,4,"06/05/2023","Kelvingroove ","Urban","17/07/2023",15.735,0,15.983,0.11,0.001,1,55.871206,-4.29253,76.65,0,71.33015873,3.838095238,67.21298536,9.643921069,6.821856287,0.555555555555556,1,0.444444444444444,1.88800932773148,0
31,31,505,8,8,6,0,"25/04/2023","Kelvingroove ","Urban","17/07/2023",23.903,0.001,13.502,0.265,3.571,65,55.8709,-4.2904,25.33766234,22.46753247,35.50320513,20.06730769,59.66781346,11.48075943,5.834829443,1,0.75,0,-0.980995365317084,1
32,32,510,8,7,7,1,"26/04/2023","Kelvingroove ","Urban","17/07/2023",30.721,0.397,18.663,0.774,8.154,4,55.8702,-4.2877,0.448717949,52.58974359,14.74038462,35.875,50.6860998,13.9739053,7.575052854,0.875,1,0.125,3.60966910675848,1
33,33,524,7,6,6,1,"02/05/2023","Kelvingroove ","Urban","17/07/2023",23.064,0.033,12.888,0.302,9.079,3,55.8717,-4.2824,20.8974359,23.26923077,33.70192308,20.53205128,51.10322006,13.64617539,11.43451143,0.857142857142857,1,0.142857142857143,-2.20777577471714,1
34,34,525,8,5,5,3,"14/04/2023","Kelvingroove ","Urban","17/07/2023",24.073,0.34,15.889,1.892,4.786,0,55.8704,-4.2831,1.225,34.425,6.282539683,24.19047619,45.04341184,15.54334819,9.54893617,0.625,1,0.375,1.18094143877847,1
35,35,526,7,0,0,7,"23/04/2023","Kelvingroove ","Urban","17/07/2023",17.851,0.428,12.005,0.551,3.028,2,55.871292,-4.28208,0.82278481,36.41772152,12.04113924,23.3164557,49.63835477,14.08633643,11.65750529,0,0,1,-2.41559056125548,1
36,36,527,8,8,3,0,"01/05/2023","Kelvingroove ","Urban","17/07/2023",18.107,0.221,8.494,1.343,4.426,6,55.8718,-4.2808,29.02564103,25.07692308,43.93015873,19.62539683,54.51488928,12.15551031,13.56827309,1,0.375,0,-6.09518507979554,1
37,37,534,7,6,6,1,"23/04/2023","Kelvingroove ","Urban","17/07/2023",37.012,0,28.156,0.455,1.871,4,55.8686,-4.2833,1.615384615,14.12820513,2.439873418,16.30063291,50.30991473,13.72063128,8.642447419,0.857142857142857,1,0.142857142857143,13.7463853083811,0
38,38,535,8,0,0,8,"22/04/2023","Kelvingroove ","Urban","17/07/2023",24.26,0.55,11.886,0.427,8.808,2,55.8684,-4.282,0,25.8375,8.523809524,20.96825397,52.41818413,12.87749904,8.709386282,0,0,1,-3.17325526995956,1
39,39,541,4,2,2,2,"24/04/2023","Kelvingroove ","Urban","17/07/2023",19.193,0.445,12.294,1.255,4.345,4,55.8697,-4.2874,8.101265823,35.11392405,8.666666667,41.27044025,50.38948976,13.66522458,8.265690377,0.5,1,0.5,-2.30811688125233,1
40,40,545,9,8,8,1,"18/04/2023","Kelvingroove ","Urban","17/07/2023",26.601,0.125,10.811,0.797,6.903,4,55.86979,-4.28141,38.43589744,21.21794872,40.64968153,17.01273885,49.05307369,14.43909889,10.12695313,0.888888888888889,1,0.111111111111111,-4.04804158420071,1
41,41,550,8,7,7,1,"23/04/2023","Kelvingroove ","Urban","17/07/2023",35.523,0.001,12.285,1.515,4.332,11,55.8692216,-4.2818993,13.1375,30.825,24.0952381,18.33333333,49.5785387,14.05409878,8.896551724,0.875,1,0.125,-2.33144106806526,1
42,42,551,6,5,5,1,"28/04/2023","Kelvingroove ","Urban","17/07/2023",18.378,0.213,10.321,1.705,1.408,1,55.86746,-4.28266,24.49367089,3.987341772,15.55591054,13.7571885,53.36249045,12.26496053,8.907441016,0.833333333333333,1,0.166666666666667,-3.96085395507536,1
43,43,577,8,7,6,1,"07/05/2023","Kelvingroove ","Urban","17/07/2023",30.016,0.464,16.984,1.668,1.725,1,55.86703,-4.2886,33.74358974,3.871794872,48.23101266,2.313291139,55.2065411,12.01654365,11.45559846,0.875,0.857142857142857,0.125,2.62151275796302,1
44,44,6,7,5,5,1,"29/04/2023","SCENE","Rural","14/06/2023",20.249,0,19.658,0.056,0.001,7,56.12982,-4.61551,0,69.49367089,0,70.48242812,0.184110008,55.473644,0,0.714285714285714,1,0.142857142857143,5.53840395559642,0
45,45,606,10,8,8,2,"14/04/2023","St Mungo","Urban","23/06/2023",32.343,7.897,21.124,1.009,1.416,3,55.865329,-4.246703,12.28205128,15.79487179,39.47603834,10.04792332,81.75349962,2.02316111,6.413621262,0.8,1,0.2,6.86142387704855,1
46,46,611,7,6,6,1,"02/05/2023","St Mungo","Urban","23/06/2023",10.29,0,7.391,1.345,0,3,55.865783,-4.245285,41.55696203,2.873417722,44.66139241,5.332278481,77.83676845,2.727862595,6.610032362,0.857142857142857,1,0.142857142857143,-6.69719607033501,0
47,47,614,9,8,5,1,"16/04/2023","St Mungo","Urban","23/06/2023",12.993,0.006,11.608,0.828,0.342,0,55.865599,-4.24556,22.79746835,5.708860759,38.95268139,7.624605678,79.20964868,2.534241344,6.586538462,0.888888888888889,0.625,0.111111111111111,-2.52575249882582,1
48,48,633,8,5,0,3,"07/05/2023","OSP","Urban","23/06/2023",12.727,0.386,4.83,7.017,0.001,1,55.880158,-4.307962,47.26582278,10.59493671,51.17088608,9.867088608,54.83025595,6.930599771,7.448856799,0.625,0,0.375,-9.49612526482534,1
49,49,645,8,7,2,1,"21/04/2023","GCU","Urban","20/06/2023",19.883,0.487,10.928,0.7,2.117,11,55.86717,-4.24818,99.19480519,0,98.49358974,0,77.02866242,1.92343949,5.946166395,0.875,0.285714285714286,0.125,-3.38909976165987,1
50,50,647,9,9,0,0,"16/04/2023","GCU","Urban","20/06/2023",12.588,0.723,8.25,0.828,2.202,2,55.86575,-4.24872,88.01265823,0,84.42356688,0.289808917,85.28616872,1.623997964,5.911611785,1,0,0,-6.06065496439156,1
51,51,653,8,7,5,1,"17/04/2023","GCU","Urban","20/06/2023",17.286,4.176,8.403,1.897,0.391,1,55.86622,-4.25205,73.17948718,0,81.39616613,0,87.44624204,1.43044586,4.249116608,0.875,0.714285714285714,0.125,-5.72480474947967,1
52,52,659,11,10,10,1,"27/04/2023","GCU","Urban","20/06/2023",22.878,0.043,10.657,0.936,7.337,0,55.86654,-4.25364,71.16883117,0,82.86217949,0.201923077,87.74557268,1.573321442,3.866554054,0.909090909090909,1,0.0909090909090909,-4.256533844627,1
53,53,701,7,7,7,0,"02/05/2023","Garsgube","Urban","22/06/2023",17.677,0.157,9.413,1.003,1.456,22,55.9048,-4.3199,7.569620253,40.56962025,11.14240506,22.59810127,32.95405371,13.41504391,1.939226519,1,1,0,-4.8358332302783,1
54,54,706,1,0,0,1,"09/05/2023","Garsgube","Urban","22/06/2023",17.365,0.468,15.096,0.129,0.088,1,55.9068277,-4.3160699,20.11392405,33.70886076,31.05063291,23.60443038,30.23953163,15.53073692,2.233027523,0,0,1,1.00107973871737,1
55,55,716,10,8,6,2,"21/04/2023","Garsgube","Urban","22/06/2023",21.103,1.042,10.45,1.068,3.783,1,55.9,-4.3166,23.67088608,26.65822785,20.85443038,41.36392405,18.27007764,31.42318951,2.073593074,0.8,0.75,0.2,-4.0618388124997,1
56,56,723,9,9,8,0,"29/04/2023","Garsgube","Urban","22/06/2023",19.169,0.281,14.586,1.376,0.862,35,55.9048,-4.3164,0.302631579,43.22368421,2.44516129,36.09032258,28.10580596,18.32543927,1.992592593,1,0.888888888888889,0,0.349456403975676,1
57,57,73,6,6,4,0,"08/05/2023","SCENE","Rural","27/06/2023",13.012,0.016,12.23,0.395,0.198,2,56.12795,-4.6169,0,69.29113924,0,69.10759494,0.184133452,48.6512161,0,1,0.666666666666667,0,-1.87229013563059,1
58,58,733,9,8,8,1,"30/04/2023","Garsgube","Urban","22/06/2023",18.899,0.994,8.953,0.824,4.435,3,55.8993,-4.3177,37.14102564,23.25641026,35.98417722,26.05696203,20.94205298,29.5617677,2.369402985,0.888888888888889,1,0.111111111111111,-5.60994714040265,1
59,59,743,10,9,9,1,"24/04/2023","Dawsholm","Urban","21/06/2023",29.392,0.501,23.136,0.517,3.212,3,55.89896,-4.31636,0,69.73076923,5.373801917,59.60383387,19.19964349,31.47122485,2.139830508,0.9,1,0.1,8.61501285002919,1
60,60,744,9,6,6,3,"29/04/2023","Dawsholm","Urban","21/06/2023",28.229,0.634,18.736,1.774,3.441,8,55.899,-4.31554,0,70.28395062,0.384126984,69.20952381,19.25470978,32.39218432,1.945205479,0.666666666666667,1,0.333333333333333,4.16536374542225,1
61,61,746,12,12,11,0,"22/04/2023","Dawsholm","Urban","21/06/2023",32.892,3.664,14.81,1.34,11.436,7,55.898,-4.31739,0.833333333,64.23076923,3.628205128,49.29807692,22.58759078,30.71907249,3.065517241,1,0.916666666666667,0,-0.579023432522031,1
62,62,750,6,5,5,2,"29/04/2023","Dawsholm","Urban","21/06/2023",26.623,3.811,15.172,1.428,0.904,0,55.89814,-4.31507,0,75.11392405,0,70.95238095,21.2398167,32.68915479,2.022222222,0.833333333333333,1,0.333333333333333,0.955234157685034,1
63,63,8,6,6,6,0,"05/05/2023","SCENE","Rural","14/06/2023",16.357,0,14.507,0.889,0,8,56.1299,-4.61625,0,72.41025641,0,71.54487179,0.183969466,56.76615776,0,1,1,0,0.38727568142714,0
64,64,88,7,6,0,1,"26/04/2023","SCENE","Rural","27/06/2023",20.435,0.001,18.607,0.88,0.052,5,56.1272,-4.6165,0,67.275,0,58.25796178,0.184110008,44.34721161,0,0.857142857142857,0,0.142857142857143,4.45166919070769,1
